                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     60,                 1.4407,                 1.3653,                 1.9114,                0.76207,                0.73244,                0.82094,                0.56832,                 1.2532,                 1.2255,                 1.8791,              0.0008318,              0.0008318,              0.0008318
                     61,                 1.6281,                 1.6496,                 2.1849,                0.71368,                0.81008,                0.82657,                0.55952,                 1.2883,                 1.2147,                 1.9015,               0.000812,               0.000812,               0.000812
                     62,                 1.3732,                 1.2487,                 1.8524,                0.79107,                0.79457,                0.84003,                0.58308,                 1.3045,                 1.1869,                 1.9389,              0.0007922,              0.0007922,              0.0007922
                     63,                 1.4553,                 1.3907,                 1.9841,                0.79605,                 0.8062,                0.84678,                0.58992,                 1.2739,                 1.2103,                 1.9303,              0.0007724,              0.0007724,              0.0007724
                     64,                 1.3803,                 1.2499,                 1.9054,                0.78712,                0.77519,                0.81812,                0.55169,                 1.3721,                 1.2972,                  1.967,              0.0007526,              0.0007526,              0.0007526
                     65,                  1.397,                 1.3444,                 1.8867,                0.82885,                0.77907,                 0.8362,                0.59668,                  1.258,                 1.2463,                 1.8878,              0.0007328,              0.0007328,              0.0007328
                     66,                 1.4115,                 1.2514,                 1.8625,                0.79008,                 0.7907,                0.84667,                0.60424,                 1.2511,                 1.2393,                 1.8817,               0.000713,               0.000713,               0.000713
                     67,                 1.2997,                 1.3533,                 1.8202,                 0.8229,                 0.7907,                0.85618,                 0.5979,                 1.1893,                 1.1628,                 1.8153,              0.0006932,              0.0006932,              0.0006932
                     68,                 1.3757,                 1.2468,                 1.8822,                0.82523,                0.80525,                0.85968,                0.60673,                   1.16,                 1.1052,                 1.8072,              0.0006734,              0.0006734,              0.0006734
                     69,                 1.3408,                 1.3567,                 1.9151,                 0.8402,                0.76744,                0.86375,                0.60378,                 1.1841,                 1.1307,                  1.827,              0.0006536,              0.0006536,              0.0006536
                     70,                 1.2757,                 1.1519,                 1.7547,                0.81617,                0.72868,                0.84402,                0.57739,                  1.301,                 1.2592,                  1.918,              0.0006338,              0.0006338,              0.0006338
                     71,                 1.3752,                  1.203,                  1.917,                0.82125,                0.81395,                0.87021,                0.60671,                   1.23,                 1.1538,                 1.8456,               0.000614,               0.000614,               0.000614
                     72,                 1.3098,                 1.1427,                 1.7473,                0.82748,                0.83661,                0.88412,                0.62552,                 1.2305,                 1.0878,                 1.8366,              0.0005942,              0.0005942,              0.0005942
                     73,                 1.3116,                  1.147,                 1.7821,                0.84399,                0.84884,                0.89253,                0.62029,                 1.2106,                  1.086,                 1.8164,              0.0005744,              0.0005744,              0.0005744
                     74,                 1.3164,                 1.1703,                 1.8145,                0.86771,                  0.839,                0.89406,                0.64332,                 1.1642,                 1.0763,                 1.7766,              0.0005546,              0.0005546,              0.0005546
                     75,                  1.304,                 1.1845,                 1.8343,                0.85467,                0.84337,                0.88437,                0.63891,                 1.0922,                 1.1337,                 1.7259,              0.0005348,              0.0005348,              0.0005348
                     76,                 1.2121,                 1.1258,                 1.6938,                0.85465,                 0.8062,                0.87341,                0.62458,                 1.1371,                 1.1406,                 1.7589,               0.000515,               0.000515,               0.000515
                     77,                 1.4718,                 1.4864,                 2.0545,                0.87381,                0.80519,                0.87985,                0.63522,                 1.1101,                 1.0964,                 1.7423,              0.0004952,              0.0004952,              0.0004952
                     78,                 1.2515,                 1.0903,                 1.7766,                0.88051,                0.79973,                0.88742,                0.66186,                 1.0924,                 1.0399,                 1.7589,              0.0004754,              0.0004754,              0.0004754
                     79,                 1.2515,                 1.1562,                 1.7436,                0.86881,                0.82137,                0.88893,                0.65282,                   1.09,                 1.0415,                 1.7809,              0.0004556,              0.0004556,              0.0004556
                     80,                 1.2618,                 1.2672,                 1.7991,                0.83358,                0.83482,                0.89332,                0.64661,                 1.1087,                 1.0235,                 1.7756,              0.0004358,              0.0004358,              0.0004358
                     81,                 1.3044,                 1.3062,                 1.8492,                0.81594,                0.84884,                0.89307,                0.65982,                 1.0793,                 1.0211,                  1.737,               0.000416,               0.000416,               0.000416
                     82,                 1.2672,                 1.1401,                 1.6673,                0.84297,                0.81783,                0.88682,                0.65997,                  1.057,                 1.0513,                 1.7133,              0.0003962,              0.0003962,              0.0003962
                     83,                 1.2666,                 1.1748,                 1.7893,                0.83479,                0.86822,                0.90065,                0.67694,                 1.0398,                 1.0442,                 1.7047,              0.0003764,              0.0003764,              0.0003764
                     84,                 1.2459,                 1.1009,                 1.6738,                0.89546,                0.83005,                0.89713,                0.67153,                 1.0436,                 1.0342,                 1.7128,              0.0003566,              0.0003566,              0.0003566
                     85,                 1.2313,                 1.1464,                 1.7986,                0.88543,                0.83871,                0.89538,                0.67701,                  1.029,                 1.0286,                 1.6932,              0.0003368,              0.0003368,              0.0003368
                     86,                 1.2638,                 1.1033,                  1.721,                 0.8669,                0.80783,                0.88101,                 0.6606,                 1.0575,                  1.037,                 1.6855,               0.000317,               0.000317,               0.000317
                     87,                 1.1139,                 1.0775,                 1.6328,                0.86844,                0.84435,                0.89763,                 0.6759,                 1.0517,                 1.0237,                 1.6746,              0.0002972,              0.0002972,              0.0002972
                     88,                 1.2919,                 1.1902,                   1.81,                0.88126,                0.83721,                0.91088,                0.68984,                 1.0129,                0.98211,                 1.6392,              0.0002774,              0.0002774,              0.0002774
                     89,                 1.1516,                 1.0539,                 1.7171,                0.87285,                0.84884,                0.91388,                0.69409,                 1.0111,                0.95643,                 1.6313,              0.0002576,              0.0002576,              0.0002576
                     90,                 1.1402,                0.96776,                 1.6283,                0.88125,                0.86822,                0.91658,                0.69088,                 1.0064,                0.93532,                 1.6368,              0.0002378,              0.0002378,              0.0002378
                     91,                 1.0888,                 1.2093,                 1.7512,                0.87725,                0.87984,                0.92135,                0.70371,                0.99586,                 0.9176,                 1.6274,               0.000218,               0.000218,               0.000218
                     92,                  1.156,                 1.2063,                 1.8214,                0.87684,                0.85548,                0.91143,                0.69204,                 1.0517,                 0.9224,                 1.6285,              0.0001982,              0.0001982,              0.0001982
                     93,                 1.0989,                 1.0945,                 1.7788,                0.87384,                0.85659,                0.91153,                0.68682,                 1.0797,                0.93539,                 1.6425,              0.0001784,              0.0001784,              0.0001784
                     94,                 1.1261,                 1.1082,                  1.768,                0.84987,                0.85271,                0.90098,                0.67227,                 1.0931,                0.95878,                 1.6475,              0.0001586,              0.0001586,              0.0001586
                     95,                 1.0665,                 1.0754,                  1.744,                 0.8762,                0.81395,                 0.9034,                0.68352,                 1.0454,                0.93781,                 1.6225,              0.0001388,              0.0001388,              0.0001388
                     96,                 1.0768,                 1.2142,                 1.6886,                 0.8959,                0.81783,                 0.9142,                0.70073,                 1.0063,                0.90115,                   1.61,               0.000119,               0.000119,               0.000119
                     97,                 1.0744,                 1.1256,                 1.7366,                0.90925,                0.81558,                0.91596,                 0.7051,                0.98929,                 0.8878,                 1.6043,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                 1.0222,                 1.0079,                  1.672,                0.90029,                0.82558,                0.91464,                0.70974,                0.96116,                0.86787,                 1.5924,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                0.98482,                 1.0196,                 1.6416,                0.88825,                0.86264,                0.91768,                0.71726,                 0.9417,                0.85603,                 1.5844,               5.96e-05,               5.96e-05,               5.96e-05
                    100,                 1.0049,                 1.0208,                 1.6699,                0.89163,                0.86434,                0.92019,                0.71888,                0.93062,                0.85056,                 1.5793,               3.98e-05,               3.98e-05,               3.98e-05
